番号,英文 (English Sentence),日本語文 (Japanese Translation)
246,I sit at the other end of the room.,私は部屋の反対側の端に座っています。
247,You must come to the party by all means.,何としてもパーティーに来てくださいね。
248,The man standing by the door is a famous singer.,ドアのそばに立っている男性は有名な歌手です。
249,The teacher speaks good french not to mention english.,その先生は英語はもちろんのこと、フランス語も上手に話します。
250,You should put something in your stomach before you go.,出かける前に何かお腹に入れておいたほうがいいですよ。
251,Entering the room i found her playing the piano.,部屋に入ると、彼女がピアノを弾いていました。
252,Although it is a very difficult task i will do my best.,非常に困難な仕事ですが、全力を尽くします。
253,I'm tied up with a project that is due friday.,金曜締め切りのプロジェクトで手がいっぱいです。
254,The brave fireman rescued a boy from the burning house.,勇敢な消防士が燃える家から少年を救出しました。
255,He waved his hand to whomever he saw.,彼は見かける人誰にでも手を振りました。
256,Those brothers are both over six feet in height.,あの兄弟は二人とも身長が6フィート以上あります。
257,This is the very camera i've wanted for a long time.,これこそが私がずっと欲しかったカメラです。
258,Those present at the concert were surprised by his performance.,コンサートの出席者たちは彼の演奏に驚きました。
259,If anything goes wrong i'll answer for the consequences.,もし何か不手際があれば、私が責任を負います。
260,I'd like to spend my holidays reading history books or classics.,休暇は歴史の本や古典を読んで過ごしたいです。
261,This tree is the tallest and oldest in the forest.,この木は森の中で最も高く、最も古いです。
262,The official was suspected of accepting bribes from the construction companies.,その役人は建設会社から賄賂を受け取った疑いを持たれました。
263,Our views are in agreement with theirs as to the essential points.,私たちの見解は、本質的な点において彼らと一致しています。
264,A boy sleeping in bed seems to be an angel.,ベッドで眠っている少年は天使のようです。
265,These jeans feel too tight may i try on another size.,このジーンズはきつすぎます。別のサイズを試着してもいいですか？
266,Look the word up for yourself in the dictionary.,辞書でその単語を自分で調べなさい。
267,We work on every day of the week except sunday.,日曜日を除いて毎日働いています。
268,I think i will have one more ice cream cone.,アイスクリームをもう一つ食べようかな。
269,I don't want to put her to even a small inconvenience.,彼女にわずかな不便もかけたくありません。
270,While i was waiting for our bus the rain stopped.,バスを待っている間に雨が止みました。
271,This country has an even temperature throughout the year.,この国は一年を通じて気温が一定です。
272,Ken makes it a rule to get up early.,ケンは早起きすることにしています。
273,It is difficult to finish the work in a day.,その仕事を一日で終えるのは難しいです。
